Story,Emotion,Val
Anxiety,Anxiety,0.33970070077443515
Anxiety,Despair,0.3569702894612178
Anxiety,Irritation,0.27887517591416716
Anxiety,Rage,0.02445383385017988
Despair,Anxiety,0.021218391018621118
Despair,Despair,0.8307079689117622
Despair,Irritation,0.005194704821759019
Despair,Rage,0.1428789352478576
Irritation,Anxiety,0.32576146001852047
Irritation,Despair,0.14147787522364436
Irritation,Irritation,0.4092871967779986
Irritation,Rage,0.12347346797983666
Rage,Anxiety,0.0022773597640537387
Rage,Despair,0.29117832229879287
Rage,Irritation,0.00284542695154446
Rage,Rage,0.703698890985609
